City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Hay River,60.82,-115.8,28.4,63,40,5.82,CA,2020-04-20 04:17:04,scattered clouds,0,0
1,Garden City,42.33,-83.33,37.99,55,1,5.82,US,2020-04-20 04:21:44,clear sky,0,0
2,Half Moon Bay,37.46,-122.43,57.0,71,90,4.7,US,2020-04-20 04:19:45,overcast clouds,0,0
3,Smithers,54.78,-127.17,60.8,52,5,8.05,CA,2020-04-20 04:21:44,clear sky,0,0
4,Rikitea,-23.12,-134.97,76.84,71,93,6.76,PF,2020-04-20 04:15:46,overcast clouds,0,0
5,Aklavik,68.22,-135.01,14.0,72,90,9.17,CA,2020-04-20 04:16:28,overcast clouds,0,0
6,Mar Del Plata,-38.0,-57.56,62.01,87,98,2.24,AR,2020-04-20 04:12:12,overcast clouds,0,0
7,Atuona,-9.8,-139.03,82.72,75,45,12.82,PF,2020-04-20 04:16:14,scattered clouds,0,0
8,Acarau,-2.89,-40.12,76.5,88,33,1.7,BR,2020-04-20 04:21:46,scattered clouds,0,0
9,Neyshabur,36.21,58.8,60.1,31,0,1.41,IR,2020-04-20 04:21:46,clear sky,0,0
10,Nikolskoye,59.7,30.79,37.4,94,40,4.47,RU,2020-04-20 04:15:45,scattered clouds,0,0
11,Cochrane,51.18,-114.47,42.01,69,1,5.82,CA,2020-04-20 04:21:46,clear sky,0,0
12,Colmenar Viejo,40.66,-3.77,54.0,93,2,3.18,ES,2020-04-20 04:21:46,clear sky,0,0
13,Mogadishu,2.04,45.34,82.51,74,99,11.43,SO,2020-04-20 04:16:59,light rain,2.15,0
14,Ilulissat,69.22,-51.1,24.8,58,100,29.97,GL,2020-04-20 04:15:56,light shower snow,0,0
15,Dikson,73.51,80.55,33.6,94,86,17.05,RU,2020-04-20 04:16:47,overcast clouds,0,0
16,Touros,-5.2,-35.46,77.0,94,40,3.36,BR,2020-04-20 04:16:51,scattered clouds,0,0
17,Cockburn Town,21.46,-71.14,79.21,84,38,17.52,TC,2020-04-20 04:16:41,scattered clouds,0,0
18,Ribeira Grande,38.52,-28.7,56.26,58,2,7.27,PT,2020-04-20 04:16:35,clear sky,0,0
