City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Mogadishu,SO,82.51,light rain,2.04,45.34,Hotel Juba
28,Khorixas,,72.54,light rain,-20.37,14.97,Khorixas Lodge
32,Katsuura,JP,60.26,light rain,35.13,140.3,Katsuura Hotel Mikazuki
41,Albany,US,50.0,light rain,42.6,-73.97,
57,Poum,NC,80.6,light rain,-20.23,164.02,Gîte kajeon
58,Balabac,PH,87.67,light rain,7.99,117.06,Sing and Swing Lodge
62,Kavieng,PG,84.33,light rain,-2.57,150.8,Nusa Island Retreat
66,Bluff,NZ,55.99,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
99,Faanui,PF,82.24,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Japura,ID,88.66,light rain,-0.32,102.35,KOST dan HOMESTAY RUMAH KITA JOSH
103,Busselton,AU,66.99,light rain,-33.65,115.33,Observatory Guest House
104,Harper,LR,80.53,light rain,4.38,-7.72,Cape View Guest House
107,Mana,GF,77.13,moderate rain,5.66,-53.78,LE SAMANA
112,Ahipara,NZ,64.58,moderate rain,-35.17,173.17,Ahipara Holiday Park
119,Tezu,IN,70.41,light rain,27.92,96.17,Circuit House
127,Cayenne,GF,77.0,moderate rain,4.93,-52.33,Hôtel Le Dronmi
143,Manono,CD,68.5,light rain,-7.3,27.42,Hotel hewa bora
150,Merauke,ID,89.24,light rain,-8.47,140.33,
151,Aljezur,PT,57.99,light rain,37.32,-8.8,Amazigh Hostel
153,Namibe,AO,74.39,light rain,-15.2,12.15,Chik-Chik Namibe
166,Padang,ID,88.18,light rain,-0.95,100.35,Mercure Padang
171,Garissa,KE,76.48,light rain,-0.45,39.64,Almond Resort
180,Pouembout,NC,78.96,moderate rain,-21.13,164.9,Camping de Tipenga
186,Tura,IN,79.81,light rain,25.52,90.22,Hotel RIKMAN Continental
188,Morros,BR,72.45,light rain,-9.45,-46.3,
200,Lorengau,PG,84.49,light rain,-2.02,147.27,Lorengau Harbourside Hotel
202,Angra Dos Reis,BR,69.33,light rain,-23.01,-44.32,Mercure Angra dos Reis
204,Pilar,BR,75.52,light rain,-9.6,-35.96,Pousada Manguaba
209,Dingle,PH,89.37,light rain,11.0,122.67,Camp Pasica
214,Buala,SB,84.38,light rain,-8.14,159.59,Maringe Lagoon Lodge
217,New Norfolk,AU,62.01,light rain,-42.78,147.06,The Shingles Riverside Cottages
231,Burnie,AU,61.0,light rain,-41.07,145.92,Beachfront Voyager Motor Inn
239,Yekepa,LR,70.41,light rain,7.58,-8.54,Alvino Hotel
246,Prainha,BR,72.63,light rain,-1.8,-53.48,Hotel Teixeira
247,Port Blair,IN,84.47,light rain,11.67,92.75,Hotel Sentinel
248,Tagusao,PH,86.29,light rain,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
249,Butaritari,KI,83.77,light rain,3.07,172.79,Isles Sunset Lodge
