City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2020-04-19 23:40:19,22.08,-159.32,80.6,61,1,10.29
1,Severo-Kurilsk,RU,2020-04-19 23:38:47,50.68,156.12,30.97,91,73,9.89
2,Rikitea,PF,2020-04-19 23:40:24,-23.12,-134.97,77.07,67,100,5.99
3,Albany,US,2020-04-19 23:35:25,42.6,-73.97,59.0,52,90,1.99
4,Mayo,US,2020-04-19 23:40:24,38.89,-76.51,60.01,62,1,11.41
5,Thompson,CA,2020-04-19 23:36:19,55.74,-97.86,23.0,79,90,10.29
6,Wanaka,NZ,2020-04-19 23:40:25,-44.7,169.15,48.92,55,55,7.18
7,Peterhead,GB,2020-04-19 23:40:25,57.51,-1.8,41.0,93,0,4.7
8,Vagur,FO,2020-04-19 23:40:25,61.47,-6.81,45.7,85,0,15.48
9,Puerto Ayora,EC,2020-04-19 23:40:26,-0.74,-90.35,81.0,84,86,8.01
10,Nea Playia,GR,2020-04-19 23:40:26,40.27,23.2,57.0,100,94,2.46
11,Cape Town,ZA,2020-04-19 23:40:00,-33.93,18.42,64.0,77,75,18.34
12,Ushuaia,AR,2020-04-19 23:35:52,-54.8,-68.3,41.0,86,90,27.51
13,Stornoway,GB,2020-04-19 23:40:26,58.21,-6.39,41.0,93,0,3.36
14,Otradnoye,RU,2020-04-19 23:40:27,59.78,30.82,37.4,93,70,4.47
15,Mwinilunga,ZM,2020-04-19 23:39:56,-11.74,24.43,60.17,65,45,5.01
16,Port Lincoln,AU,2020-04-19 23:40:27,-34.73,135.87,62.22,58,100,15.35
17,Hobart,AU,2020-04-19 23:35:53,-42.88,147.33,55.99,81,90,6.93
18,Nosy Varika,MG,2020-04-19 23:40:27,-20.58,48.53,71.44,89,34,6.24
19,Komsomolskiy,UZ,2020-04-19 23:40:28,40.43,71.72,55.4,54,0,6.93
20,Shingu,JP,2020-04-19 23:40:28,33.73,135.98,62.6,93,75,3.36
21,Bredasdorp,ZA,2020-04-19 23:38:15,-34.53,20.04,55.0,93,6,2.24
22,Port Elizabeth,ZA,2020-04-19 23:40:28,-33.92,25.57,71.6,46,29,12.75
23,Sambava,MG,2020-04-19 23:40:29,-14.27,50.17,73.58,88,50,7.9
24,Dingle,PH,2020-04-19 23:36:33,11.0,122.67,83.32,76,89,12.44
25,Leh,IN,2020-04-19 23:40:29,34.17,77.58,29.64,21,99,1.83
26,Bara,NG,2020-04-19 23:40:29,10.37,10.73,85.71,43,52,5.86
27,Turayf,SA,2020-04-19 23:39:27,31.67,38.66,62.6,48,43,4.7
28,Union City,US,2020-04-19 23:38:07,37.6,-122.02,68.0,52,1,16.11
29,Port Alfred,ZA,2020-04-19 23:37:01,-33.59,26.89,69.01,84,14,7.36
30,Ponta Do Sol,PT,2020-04-19 23:40:30,32.67,-17.1,57.99,65,13,7.0
31,Lavrentiya,RU,2020-04-19 23:35:37,65.58,-171.0,21.18,91,100,8.16
32,Vaini,TO,2020-04-19 23:38:26,-21.2,-175.2,84.2,74,40,8.05
33,Bluff,NZ,2020-04-19 23:39:33,-46.6,168.33,55.0,70,78,8.01
34,Petropavlovsk-Kamchatskiy,RU,2020-04-19 23:40:03,53.05,158.65,33.8,26,21,15.66
35,Butaritari,KI,2020-04-19 23:39:46,3.07,172.79,83.39,73,23,8.81
36,Nikolskoye,RU,2020-04-19 23:40:31,59.7,30.79,37.4,94,67,4.47
37,Brae,GB,2020-04-19 23:40:32,60.4,-1.35,44.6,86,0,11.41
38,Morro Bay,US,2020-04-19 23:37:46,35.37,-120.85,64.99,61,84,5.99
39,Sistranda,NO,2020-04-19 23:40:32,63.73,8.83,41.0,80,75,2.64
40,Lata,PT,2020-04-19 23:39:28,40.16,-8.33,54.0,89,56,1.92
41,Yellowknife,CA,2020-04-19 23:40:32,62.46,-114.35,26.6,53,40,20.8
42,Vao,NC,2020-04-19 23:40:04,-22.67,167.48,78.03,81,100,15.39
43,Upernavik,GL,2020-04-19 23:36:00,72.79,-56.15,26.91,84,94,26.26
44,Clyde River,CA,2020-04-19 23:40:33,70.47,-68.59,1.4,77,1,2.24
45,Baghdad,IQ,2020-04-19 23:38:50,33.34,44.4,64.4,55,0,2.24
46,Dikson,RU,2020-04-19 23:40:33,73.51,80.55,34.48,89,90,22.77
47,Tuktoyaktuk,CA,2020-04-19 23:40:34,69.45,-133.04,10.4,85,90,9.17
48,Half Moon Bay,US,2020-04-19 23:37:25,37.46,-122.43,66.99,67,20,8.05
49,Saint-Philippe,RE,2020-04-19 23:40:34,-21.36,55.77,73.4,73,75,6.93
50,Atuona,PF,2020-04-19 23:35:59,-9.8,-139.03,82.89,73,38,12.97
51,Saskylakh,RU,2020-04-19 23:40:34,71.92,114.08,17.15,95,2,3.6
52,Teknaf,BD,2020-04-19 23:40:35,20.86,92.31,76.26,88,58,4.94
53,Mar Del Plata,AR,2020-04-19 23:36:59,-38.0,-57.56,66.99,82,29,6.93
54,Abu Samrah,SY,2020-04-19 23:40:35,35.3,37.18,66.85,40,54,2.98
55,Ribeira Grande,PT,2020-04-19 23:40:35,38.52,-28.7,56.68,63,7,12.53
56,Barrow,US,2020-04-19 23:40:02,71.29,-156.79,12.2,85,90,6.93
57,Busselton,AU,2020-04-19 23:36:07,-33.65,115.33,60.01,59,78,20.2
58,Grindavik,IS,2020-04-19 23:40:36,63.84,-22.43,46.4,100,90,29.97
59,Stuttgart,DE,2020-04-19 23:40:36,48.78,9.18,52.0,62,36,9.17
60,Sisimiut,GL,2020-04-19 23:40:36,66.94,-53.67,29.48,92,98,32.91
61,Pangody,RU,2020-04-19 23:40:37,65.85,74.49,32.41,95,86,12.08
62,Pacific Grove,US,2020-04-19 23:39:49,36.62,-121.92,62.6,55,1,12.75
63,Bellavista,PE,2020-04-19 23:40:37,-7.06,-76.59,74.61,58,2,1.41
64,Kieta,PG,2020-04-19 23:40:37,-6.22,155.63,85.3,65,90,3.11
65,Mandera,KE,2020-04-19 23:40:37,3.94,41.87,79.0,22,100,9.46
66,Kodiak,US,2020-04-19 23:39:41,57.79,-152.41,46.4,75,90,12.75
67,Faanui,PF,2020-04-19 23:40:38,-16.48,-151.75,82.83,75,60,15.23
68,Mumford,GH,2020-04-19 23:40:38,5.26,-0.76,82.0,81,99,7.78
69,Airai,TL,2020-04-19 23:39:26,-8.93,125.41,67.21,52,0,2.8
70,Norman Wells,CA,2020-04-19 23:36:19,65.28,-126.83,28.4,68,90,6.93
71,Betsiamites,CA,2020-04-19 23:40:39,48.94,-68.65,41.0,86,90,10.29
72,Chuy,UY,2020-04-19 23:40:04,-33.7,-53.46,64.58,89,23,7.49
73,Puerto Gaitan,CO,2020-04-19 23:40:39,4.31,-72.08,81.77,58,100,5.06
74,Nanortalik,GL,2020-04-19 23:39:54,60.14,-45.24,28.4,89,6,9.46
75,Pevek,RU,2020-04-19 23:36:07,69.7,170.31,9.91,94,100,6.98
76,Punta Arenas,CL,2020-04-19 23:38:29,-53.15,-70.92,42.8,78,20,23.04
77,Wanning,CN,2020-04-19 23:40:40,18.8,110.4,79.56,84,92,10.27
78,Ko Samui,TH,2020-04-19 23:39:37,9.54,99.94,84.2,79,20,9.17
79,Castro,BR,2020-04-19 23:40:40,-24.79,-50.01,57.07,70,34,5.88
80,Avarua,CK,2020-04-19 23:40:41,-21.21,-159.78,82.4,69,2,12.75
81,Chokurdakh,RU,2020-04-19 23:40:41,70.63,147.92,7.12,94,86,11.52
82,Robertson,US,2020-04-19 23:40:41,36.52,-86.87,50.0,100,90,3.36
83,Vanavara,RU,2020-04-19 23:40:41,60.34,102.28,25.92,88,0,1.52
84,Arraial Do Cabo,BR,2020-04-19 23:40:41,-22.97,-42.03,73.67,70,96,4.79
85,Vanimo,PG,2020-04-19 23:40:42,-2.67,141.3,82.74,79,100,1.43
86,Havre-Saint-Pierre,CA,2020-04-19 23:40:42,50.23,-63.6,30.2,68,1,6.93
87,Jamestown,US,2020-04-19 23:40:07,42.1,-79.24,45.0,81,90,12.75
88,Cabo San Lucas,MX,2020-04-19 23:38:13,22.89,-109.91,78.8,44,5,8.05
89,Roma,US,2020-04-19 23:36:18,43.21,-75.46,44.6,93,90,4.7
90,Georgetown,MY,2020-04-19 23:40:03,5.41,100.34,78.8,94,20,3.91
91,Sorrento,IT,2020-04-19 23:40:43,40.63,14.37,64.99,47,100,6.26
92,Severnoye,RU,2020-04-19 23:40:43,56.35,78.36,45.41,85,14,1.54
93,Lebu,CL,2020-04-19 23:36:01,-37.62,-73.65,55.83,74,100,9.84
94,Hofn,IS,2020-04-19 23:39:34,64.25,-15.21,44.04,84,99,8.34
95,Aklavik,CA,2020-04-19 23:40:44,68.22,-135.01,21.2,48,90,3.36
96,Kayanga,TZ,2020-04-19 23:40:44,-1.53,31.15,58.41,62,98,1.7
97,Orbetello,IT,2020-04-19 23:40:44,42.44,11.22,62.6,88,75,1.12
98,Hun,LY,2020-04-19 23:40:45,29.13,15.95,77.54,15,100,17.36
99,Provideniya,RU,2020-04-19 23:39:58,64.38,-173.3,22.44,95,100,14.94
100,Skovorodino,RU,2020-04-19 23:40:45,53.98,123.92,22.23,73,98,14.83
101,Tasiilaq,GL,2020-04-19 23:40:45,65.61,-37.64,32.0,92,100,4.7
102,North Bend,US,2020-04-19 23:40:45,43.41,-124.22,59.0,66,1,8.05
103,Itupiranga,BR,2020-04-19 23:40:46,-5.13,-49.33,80.6,94,20,3.36
104,Mataura,NZ,2020-04-19 23:38:13,-46.19,168.86,55.0,70,72,8.01
105,Mastic Beach,US,2020-04-19 23:36:24,40.77,-72.85,50.0,79,79,5.01
106,Ambam,CM,2020-04-19 23:40:46,2.38,11.28,70.2,82,100,2.1
107,Namibe,AO,2020-04-19 23:40:46,-15.2,12.15,75.31,65,19,2.8
108,Sarangani,PH,2020-04-19 23:40:47,5.4,125.46,84.36,74,96,12.21
109,Blyth,GB,2020-04-19 23:40:47,55.13,-1.51,44.01,86,0,1.12
110,Corinto,GR,2020-04-19 23:40:47,37.94,22.96,57.0,76,68,3.11
111,Goderich,CA,2020-04-19 23:40:47,43.75,-81.72,39.99,65,27,12.86
112,Moron,AR,2020-04-19 23:40:46,-34.65,-58.62,70.0,72,0,5.03
113,La Ronge,CA,2020-04-19 23:40:48,55.1,-105.28,41.0,35,75,18.34
114,Ojinaga,MX,2020-04-19 23:40:48,29.57,-104.42,86.0,8,1,9.17
115,Hilo,US,2020-04-19 23:36:28,19.73,-155.09,82.4,51,1,12.75
116,Sao Filipe,CV,2020-04-19 23:36:30,14.9,-24.5,71.82,74,0,19.71
117,Bonthe,SL,2020-04-19 23:40:49,7.53,-12.51,81.45,79,100,7.96
118,Hermanus,ZA,2020-04-19 23:39:32,-34.42,19.23,61.0,95,38,12.06
119,Bay Roberts,CA,2020-04-19 23:40:49,47.6,-53.26,35.01,1,100,8.99
120,Olafsvik,IS,2020-04-19 23:40:49,64.89,-23.71,44.38,91,100,21.25
121,Chegdomyn,RU,2020-04-19 23:40:49,51.12,133.02,43.47,67,100,11.56
122,Cozumel,MX,2020-04-19 23:40:50,20.51,-86.95,86.0,66,40,14.99
123,Hasaki,JP,2020-04-19 23:38:38,35.73,140.83,48.2,93,75,6.93
124,Punta Alta,AR,2020-04-19 23:40:50,-38.88,-62.07,63.32,55,93,10.38
125,Kalmunai,LK,2020-04-19 23:40:50,7.42,81.82,81.91,79,65,5.12
126,Victoria,HK,2020-04-19 23:37:02,22.29,114.16,78.01,78,85,4.25
127,Meulaboh,ID,2020-04-19 23:39:03,4.14,96.13,78.84,83,51,3.85
128,Bambous Virieux,MU,2020-04-19 23:38:12,-20.34,57.76,75.2,88,40,11.41
129,Margate,GB,2020-04-19 23:36:37,51.38,1.39,50.0,79,0,7.0
130,Kholm,RU,2020-04-19 23:40:51,59.27,32.85,30.24,98,54,3.83
131,Okha,RU,2020-04-19 23:40:52,53.57,142.95,30.69,99,100,10.78
132,Aracati,BR,2020-04-19 23:40:52,-4.56,-37.77,79.81,84,15,7.52
133,Igurusi,TZ,2020-04-19 23:40:52,-8.85,33.85,62.2,56,47,3.36
134,Souillac,MU,2020-04-19 23:36:12,-20.52,57.52,75.2,88,40,11.41
135,Santa Cruz,BO,2020-04-19 23:38:41,-17.8,-63.17,86.0,42,0,6.93
136,Zhezkazgan,KZ,2020-04-19 23:40:53,47.8,67.71,57.69,37,99,6.38
137,Cockburn Town,TC,2020-04-19 23:40:53,21.46,-71.14,79.18,82,7,16.49
138,Longyearbyen,SJ,2020-04-19 23:40:53,78.22,15.64,28.4,86,90,33.33
139,Monywa,MM,2020-04-19 23:40:54,22.12,95.13,85.41,40,0,4.85
140,Torbay,CA,2020-04-19 23:40:54,47.67,-52.73,35.01,92,90,23.04
141,Tiksi,RU,2020-04-19 23:40:54,71.69,128.87,14.04,91,94,6.31
142,Wollongong,AU,2020-04-19 23:40:00,-34.43,150.88,64.0,89,100,4.36
143,Vostok,RU,2020-04-19 23:40:54,46.49,135.88,43.72,45,100,7.34
144,Brigantine,US,2020-04-19 23:39:49,39.41,-74.36,57.2,54,1,8.05
145,Hithadhoo,MV,2020-04-19 23:36:23,-0.6,73.08,84.76,75,90,10.29
146,Hamilton,US,2020-04-19 23:38:18,39.18,-84.53,57.0,54,75,9.17
147,Gao,ML,2020-04-19 23:40:55,16.64,1.64,88.36,24,36,8.77
148,Padang,ID,2020-04-19 23:40:56,-0.95,100.35,78.73,76,17,4.21
149,Jumla,NP,2020-04-19 23:40:56,29.27,82.18,44.67,31,97,4.59
150,Dongsheng,CN,2020-04-19 23:40:56,39.82,109.98,31.32,36,0,20.2
151,Bonoua,CI,2020-04-19 23:39:00,5.27,-3.6,84.2,83,75,11.41
152,Morros,BR,2020-04-19 23:36:45,-9.45,-46.3,74.5,77,53,4.36
153,Kaitangata,NZ,2020-04-19 23:36:00,-46.28,169.85,57.99,44,52,14.0
154,Vega De Alatorre,MX,2020-04-19 23:40:57,20.03,-96.63,86.41,68,26,12.77
155,Manthani,IN,2020-04-19 23:40:57,18.65,79.67,79.47,66,1,3.13
156,Constitucion,CL,2020-04-19 23:37:05,-35.33,-72.42,57.25,68,74,12.71
157,Marsh Harbour,BS,2020-04-19 23:40:58,26.54,-77.06,80.15,78,42,12.24
158,Korablino,RU,2020-04-19 23:40:58,53.92,40.01,34.0,90,100,0.85
159,Grand Gaube,MU,2020-04-19 23:40:58,-20.01,57.66,75.2,88,40,11.41
160,Sitka,US,2020-04-19 23:39:08,57.05,-135.33,51.8,81,90,4.7
161,Vila Velha,BR,2020-04-19 23:39:51,-20.33,-40.29,75.2,73,40,10.29
162,Tema,GH,2020-04-19 23:36:46,5.67,-0.02,82.4,83,40,11.41
163,New Norfolk,AU,2020-04-19 23:40:59,-42.78,147.06,55.99,91,100,7.74
164,Kavaratti,IN,2020-04-19 23:40:59,10.57,72.64,85.08,69,42,5.19
165,Santa Isabel,BR,2020-04-19 23:40:59,-23.32,-46.22,66.2,82,75,5.82
166,College,US,2020-04-19 23:40:51,64.86,-147.8,48.0,75,90,2.55
167,Metro,ID,2020-04-19 23:41:00,-5.11,105.31,77.67,88,51,1.79
168,Cowdenbeath,GB,2020-04-19 23:41:00,56.11,-3.34,43.0,86,0,4.7
169,Qaanaaq,GL,2020-04-19 23:41:00,77.48,-69.36,15.82,84,75,16.4
170,Aras,ES,2020-04-19 23:41:00,42.56,-2.36,53.6,87,75,8.05
171,Bengkulu,ID,2020-04-19 23:41:01,-3.8,102.27,78.13,83,84,4.12
172,Hovd,MN,2020-04-19 23:36:40,48.01,91.64,37.11,36,0,0.54
173,Teguldet,RU,2020-04-19 23:39:08,57.31,88.17,36.28,71,75,9.6
174,Meybod,IR,2020-04-19 23:41:01,32.25,54.02,62.6,51,63,4.7
175,Saint George,US,2020-04-19 23:39:49,37.1,-113.58,71.6,28,1,13.87
176,Ballina,AU,2020-04-19 23:41:02,-28.87,153.57,71.6,56,0,8.05
177,Bandarbeyla,SO,2020-04-19 23:41:02,9.49,50.81,81.73,68,79,3.11
178,East London,ZA,2020-04-19 23:41:02,-33.02,27.91,76.21,54,0,13.35
179,Carnarvon,AU,2020-04-19 23:39:58,-24.87,113.63,71.6,83,49,11.41
180,Ola,RU,2020-04-19 23:41:03,59.58,151.28,10.33,80,0,5.35
181,Flin Flon,CA,2020-04-19 23:41:03,54.77,-101.86,39.2,51,75,16.11
182,Takaka,NZ,2020-04-19 23:41:03,-40.85,172.8,60.01,77,66,5.99
183,Mariakani,KE,2020-04-19 23:41:04,-3.86,39.47,72.75,90,100,5.66
184,Sotouboua,TG,2020-04-19 23:41:04,8.57,0.98,75.74,76,100,3.8
185,Anju,KP,2020-04-19 23:41:04,39.62,125.66,47.71,85,100,8.23
186,Saint-Pierre,RE,2020-04-19 23:41:04,-21.34,55.48,73.4,73,75,6.93
187,Belmonte,BR,2020-04-19 23:41:04,-15.86,-38.88,77.0,73,90,6.93
188,Aswan,EG,2020-04-19 23:41:05,24.09,32.91,70.5,30,0,8.34
189,Khatanga,RU,2020-04-19 23:40:26,71.97,102.5,24.04,95,34,5.41
190,Beloha,MG,2020-04-19 23:41:05,-25.17,45.05,70.92,76,0,16.02
191,Novobirilyussy,RU,2020-04-19 23:41:05,56.95,90.67,35.76,68,3,11.16
192,Muroto,JP,2020-04-19 23:36:09,33.28,134.15,64.4,82,40,8.05
193,Murashi,RU,2020-04-19 23:41:06,59.4,48.96,29.61,94,6,3.0
194,Carutapera,BR,2020-04-19 23:39:53,-1.2,-46.02,79.54,85,59,8.99
195,Antofagasta,CL,2020-04-19 23:41:06,-23.65,-70.4,62.6,82,20,6.93
196,Lichinga,MZ,2020-04-19 23:41:07,-13.31,35.24,56.43,70,44,5.06
197,Comodoro Rivadavia,AR,2020-04-19 23:39:42,-45.87,-67.5,59.0,38,0,17.22
198,San Patricio,MX,2020-04-19 23:39:11,19.22,-104.7,75.2,78,5,17.22
199,Hirara,JP,2020-04-19 23:41:07,24.8,125.28,69.8,94,75,13.87
200,Chabahar,IR,2020-04-19 23:40:41,25.29,60.64,79.11,72,11,8.23
201,Muriwai Beach,NZ,2020-04-19 23:41:08,-36.82,174.45,70.0,81,100,4.23
202,Pangnirtung,CA,2020-04-19 23:36:18,66.15,-65.71,-1.23,85,36,4.12
203,Guaruja,BR,2020-04-19 23:41:08,-23.99,-46.26,72.0,78,48,5.01
204,Ilulissat,GL,2020-04-19 23:41:09,69.22,-51.1,30.2,54,100,24.16
205,Broome,US,2020-04-19 23:41:09,42.25,-75.83,55.4,43,75,11.41
206,Tabuk,PH,2020-04-19 23:41:09,17.42,121.44,80.46,74,100,3.42
207,Dakar,SN,2020-04-19 23:39:08,14.69,-17.44,68.0,88,0,18.34
208,Narsaq,GL,2020-04-19 23:39:32,60.92,-46.05,28.4,58,0,4.7
209,Camana,PE,2020-04-19 23:40:38,-16.62,-72.71,70.27,71,27,4.5
210,Cherskiy,RU,2020-04-19 23:40:36,68.75,161.3,9.03,93,100,7.92
211,Pisco,PE,2020-04-19 23:41:10,-13.7,-76.22,71.6,73,0,17.22
212,Victor Harbor,AU,2020-04-19 23:41:11,-35.57,138.62,63.0,71,94,10.0
213,Ilebo,CD,2020-04-19 23:41:11,-4.32,20.58,69.76,81,100,1.16
214,Emba,KZ,2020-04-19 23:41:11,48.83,58.14,51.44,86,100,7.0
215,Svetlaya,RU,2020-04-19 23:41:11,46.54,138.33,41.92,73,100,1.63
216,Los Llanos De Aridane,ES,2020-04-19 23:41:11,28.66,-17.92,64.4,72,20,10.29
217,Lagoa,PT,2020-04-19 23:41:12,39.05,-27.98,56.55,63,23,17.36
218,Buta,CD,2020-04-19 23:41:12,2.79,24.73,71.22,86,99,2.01
219,Buin,CL,2020-04-19 23:41:12,-33.73,-70.75,77.0,50,0,9.17
220,The Valley,AI,2020-04-19 23:37:06,18.22,-63.06,81.0,74,20,8.05
221,Almeirim,BR,2020-04-19 23:41:12,-1.52,-52.58,74.89,96,100,5.26
222,Maniitsoq,GL,2020-04-19 23:41:13,65.42,-52.9,29.53,94,100,36.17
223,San Pedro,PH,2020-04-19 23:41:13,14.35,121.02,86.0,66,20,4.7
224,Kushima,JP,2020-04-19 23:41:13,31.46,131.23,64.4,72,75,11.41
225,San Borja,BO,2020-04-19 23:41:13,-14.82,-66.85,71.28,68,2,0.63
226,Sorland,NO,2020-04-19 23:36:24,67.67,12.69,40.82,94,100,19.01
227,Gillette,US,2020-04-19 23:41:14,44.29,-105.5,51.8,50,75,16.11
228,Vryburg,ZA,2020-04-19 23:41:14,-26.96,24.73,66.45,28,48,5.39
229,Labrea,BR,2020-04-19 23:41:14,-7.26,-64.8,75.79,90,60,1.83
230,Turukhansk,RU,2020-04-19 23:40:59,65.82,87.98,37.99,73,100,18.16
231,Choya,RU,2020-04-19 23:41:14,52.01,86.55,45.3,67,0,2.68
232,Shelburne,CA,2020-04-19 23:39:20,44.08,-80.2,37.4,79,90,11.41
233,Luangwa,ZM,2020-04-19 23:41:15,-15.62,30.42,74.95,54,77,5.95
234,Kaeo,NZ,2020-04-19 23:40:05,-35.1,173.78,61.0,94,100,1.99
235,Manta,EC,2020-04-19 23:40:07,-0.95,-80.73,82.4,61,40,10.29
236,Groningen,NL,2020-04-19 23:41:15,53.25,6.75,45.0,52,0,12.75
237,Havoysund,NO,2020-04-19 23:41:16,71.0,24.66,37.4,100,75,39.15
238,Staryy Nadym,RU,2020-04-19 23:41:16,65.61,72.68,32.31,96,98,12.57
239,Karratha,AU,2020-04-19 23:41:16,-20.74,116.85,83.82,61,97,7.52
240,Nezhinka,RU,2020-04-19 23:41:16,51.77,55.37,44.6,70,100,4.47
241,Sandwick,GB,2020-04-19 23:41:16,60.0,-1.25,44.6,87,0,9.17
242,Nemuro,JP,2020-04-19 23:39:41,43.32,145.57,37.92,83,95,15.99
243,Muhammadabad,IN,2020-04-19 23:41:17,25.63,83.75,78.67,23,88,4.41
244,Caravelas,BR,2020-04-19 23:39:01,-17.71,-39.25,76.08,76,78,15.39
245,Sakakah,SA,2020-04-19 23:36:56,29.97,40.21,68.0,40,2,8.05
246,Ulladulla,AU,2020-04-19 23:40:12,-35.35,150.47,59.0,67,100,5.82
247,Deputatskiy,RU,2020-04-19 23:41:18,69.3,139.9,6.67,87,60,6.04
248,Kaniama,CD,2020-04-19 23:41:18,-7.57,24.18,67.82,73,100,1.48
249,Bemidji,US,2020-04-19 23:41:18,47.47,-94.88,43.0,44,40,12.75
250,Camacha,PT,2020-04-19 23:39:59,33.08,-16.33,60.8,77,20,9.17
251,Tres Barras,BR,2020-04-19 23:41:19,-26.11,-50.32,55.26,77,48,3.31
252,Kardailovo,RU,2020-04-19 23:41:19,51.54,53.9,45.59,82,100,5.57
253,Nyurba,RU,2020-04-19 23:41:19,63.28,118.33,20.48,93,87,4.81
254,Bathsheba,BB,2020-04-19 23:41:19,13.22,-59.52,80.6,69,20,19.46
255,Kuching,MY,2020-04-19 23:36:24,1.55,110.33,77.0,94,40,2.24
256,Kununurra,AU,2020-04-19 23:41:20,-15.77,128.73,80.6,74,72,4.7
257,Bethel,US,2020-04-19 23:40:00,41.37,-73.41,57.2,35,1,10.29
258,Alice Springs,AU,2020-04-19 23:41:20,-23.7,133.88,84.2,25,1,13.87
259,Salalah,OM,2020-04-19 23:38:05,17.02,54.09,82.4,69,40,5.82
260,Chumikan,RU,2020-04-19 23:41:21,54.72,135.31,23.67,95,100,17.11
261,Gaogou,CN,2020-04-19 23:41:21,34.02,119.19,59.05,73,81,13.04
262,Villa Corzo,MX,2020-04-19 23:41:21,16.17,-93.25,93.2,36,20,11.41
263,Kemijarvi,FI,2020-04-19 23:41:21,66.71,27.43,34.3,88,100,5.39
264,Alugan,PH,2020-04-19 23:41:22,12.22,125.48,82.29,82,94,12.95
265,Gari,RU,2020-04-19 23:41:22,59.43,62.35,33.69,88,63,5.59
266,Lompoc,US,2020-04-19 23:41:22,34.64,-120.46,62.6,63,1,12.75
267,Korla,CN,2020-04-19 23:41:22,41.76,86.15,53.01,45,100,5.01
268,Puerto Carreno,CO,2020-04-19 23:41:23,6.19,-67.49,80.6,78,75,4.63
269,Palu,ID,2020-04-19 23:38:39,-0.89,119.87,81.72,73,63,2.37
270,Soyo,AO,2020-04-19 23:41:23,-6.13,12.37,79.63,81,94,2.04
271,Isangel,VU,2020-04-19 23:39:55,-19.55,169.27,82.4,83,75,5.82
272,Aksu,CN,2020-04-19 23:40:36,41.12,80.26,52.09,51,99,3.0
273,Luanda,AO,2020-04-19 23:36:48,-8.84,13.23,80.6,88,75,5.82
274,El Angel,EC,2020-04-19 23:41:24,0.62,-77.93,45.05,45,76,0.83
275,Marzuq,YE,2020-04-19 23:37:16,14.4,46.47,72.27,47,100,2.91
276,Bud,US,2020-04-19 23:41:25,39.45,-86.18,57.2,54,40,4.7
277,Bridgetown,BB,2020-04-19 23:41:25,13.1,-59.62,80.6,69,20,19.46
278,Abha,SA,2020-04-19 23:41:25,18.22,42.51,64.4,72,93,1.9
279,Port Hawkesbury,CA,2020-04-19 23:41:25,45.62,-61.35,30.99,68,1,17.22
280,Douglas,US,2020-04-19 23:41:25,41.3,-96.17,61.0,33,40,6.93
281,Liverpool,GB,2020-04-19 23:41:26,53.41,-2.98,45.0,64,0,12.75
282,Abonnema,NG,2020-04-19 23:41:26,4.71,6.79,77.04,85,99,2.06
283,Punta Cardon,VE,2020-04-19 23:41:26,11.66,-70.22,79.5,78,28,26.08
284,Cidreira,BR,2020-04-19 23:41:26,-30.18,-50.21,68.07,85,0,16.93
285,Fukue,JP,2020-04-19 23:40:12,32.69,128.84,57.2,82,75,10.29
286,Huangzhai,CN,2020-04-19 23:41:27,38.08,112.66,42.8,48,0,2.24
287,Launceston,AU,2020-04-19 23:41:27,-41.45,147.17,53.6,87,90,13.87
288,Jiexiu,CN,2020-04-19 23:41:27,37.02,111.91,48.61,31,39,7.61
289,Careiro Da Varzea,BR,2020-04-19 23:41:27,-3.2,-59.81,82.4,78,40,3.36
290,Gweta,BW,2020-04-19 23:41:27,-20.18,25.23,69.64,37,0,10.31
291,Gunzenhausen,DE,2020-04-19 23:41:28,49.1,10.75,50.0,66,90,12.75
292,Leshukonskoye,RU,2020-04-19 23:41:28,64.9,45.76,31.05,99,98,3.89
293,Great Falls,US,2020-04-19 23:37:40,47.5,-111.3,60.8,26,40,18.34
294,Abu Kamal,SY,2020-04-19 23:41:28,34.45,40.92,74.68,29,60,6.55
